연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2020,12,28,3426,먹어주는 유부녀 무삭제판,6000,0,1,1,1,한국,한국,(주)영진크리에이티브,2020-12-28T00:00:00Z
2020,12,7,3426,벌거벗은 옆집여자들,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-07T00:00:00Z
2020,12,4,3426,미망인:많이 쌓였어요,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-04T00:00:00Z
2020,12,3,3426,쿨한 유부녀:몸으로 말해요,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-03T00:00:00Z
2020,10,13,3426,말할 수 없는 비밀:이모와의 관계 무삭제판,6000,0,1,1,1,한국,한국,(주)영진크리에이티브,2020-10-13T00:00:00Z
2020,11,3,3426,유부녀 팬클럽 무삭제판,6000,0,1,1,1,한국,한국,(주)영진크리에이티브,2020-11-03T00:00:00Z
2020,12,3,3426,이웃집 돌싱녀:섹스상담,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-12-03T00:00:00Z
2020,12,8,3426,불륜 동창회 3,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-12-08T00:00:00Z
2020,12,21,3426,착한 유부녀들,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-12-21T00:00:00Z
2020,12,11,3426,처제길들이기,6000,0,1,1,1,한국,한국,(주)룬컴퍼니,2020-12-11T00:00:00Z
2020,12,15,3426,정사 : 타인의 아내,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-12-15T00:00:00Z
2020,7,21,3426,맛있는 이모,6000,0,1,1,1,한국,한국,(주)나우콘텐츠,2020-07-21T00:00:00Z
2020,7,23,3426,새엄마 달래주기,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-23T00:00:00Z
2020,7,23,3426,끝내주는 가슴의 유부녀,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-23T00:00:00Z
2020,7,22,3426,몰래 보여주는 옆집여자,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-22T00:00:00Z
2020,7,24,3426,형수의 속살,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-24T00:00:00Z
2020,7,24,3426,정성껏 해주는 옆집여자,6000,0,1,1,1,일본,일본,(주)영진크리에이티브,2020-07-24T00:00:00Z
